lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
1.0,1.0,0.082415044,0.23715585,0.057201244,0.0,0.0,0.32153034,5.2885785e-05,0.07849414,0.23865947,0.063279234,0.0,0.0,0.32603714,5.3836247e-05,0.13991822,0.12526745,0.09725991,4.0275611e-07,3.9076403e-07,0.06664178,0.021027567,0.019688876,0.07432189,0.059269458,0.48259896,0.5678052,0.3568954,0.7570727,0.6038821,0.46351346,0.51621515,0.5146051,0.5132744,0.57228005,0.48271015,0.49748355,0.48348373,0.5150015,0.5134785,0.5727494,0.51911664,0.5028005
1.0,1.0,0.061722007,0.19838966,0.027547486,0.0,0.0,0.39424074,4.3785994e-06,0.058405202,0.199607,0.09304325,0.0,0.0,0.39802456,4.457288e-06,0.1578879,0.14853862,0.104951985,3.334558e-08,3.2352705e-08,0.06645409,0.025162956,0.025194569,0.08766786,0.06880536,0.48313722,0.56610817,0.35799688,0.76297724,0.60055304,0.4579375,0.51621336,0.5146742,0.51328135,0.5605371,0.4914985,0.49896568,0.48348504,0.51506466,0.5134852,0.56099796,0.52804935,0.5034371
0.5,0.0,0.003902693,0.13454476,0.029148735,0.0,0.0,0.094039455,0.06949069,0.0038759247,0.13578181,0.088911794,0.0,0.0,0.09517236,0.08333668,0.29369545,0.25524172,0.047277004,1.3907859e-09,1.3953017e-09,0.038476095,0.013559936,0.012316913,0.04740299,0.041440003,0.48798278,0.5695387,0.36827248,0.66702074,0.55096555,0.46189624,0.51622206,0.51464254,0.5132882,0.5411838,0.49106395,0.49926233,0.48351616,0.5150194,0.51350147,0.5416161,0.5269888,0.50225043
0.5,0.0,0.0021766573,0.13299412,0.016392194,0.0,0.0,0.09367332,0.07017006,0.002162293,0.13415194,0.10122702,0.0,0.0,0.09479149,0.083020374,0.26830548,0.24008676,0.049641393,1.1514804e-10,1.15521905e-10,0.034342084,0.012521407,0.011681074,0.046138585,0.04150442,0.48713458,0.5704355,0.36793303,0.6669315,0.550484,0.46271673,0.51622725,0.5146274,0.513291,0.54060686,0.49482387,0.4995787,0.48352194,0.51500356,0.5135025,0.5410366,0.5306297,0.50251794
0.5,0.0,0.010419183,0.12530859,0.028277926,0.0,0.0,0.09630827,0.060622443,0.010264034,0.12654036,0.08900284,0.0,0.0,0.097415514,0.07003951,0.26881173,0.24160305,0.049779058,9.533506e-12,9.564463e-12,0.033115745,0.013361494,0.011889771,0.047994256,0.04339862,0.48640034,0.57051724,0.36803353,0.66742605,0.55343735,0.4642006,0.5162276,0.51462686,0.5132914,0.53837776,0.49153635,0.49934912,0.48352173,0.51500297,0.51350284,0.5388053,0.52724487,0.5021177
1.0,0.5,0.060220033,0.20813419,0.03266827,0.0,0.0,0.15363224,1.2361565e-05,0.05765486,0.20933904,0.08696439,0.0,0.0,0.15495035,1.2472279e-05,0.26733175,0.24250224,0.05555131,2.1048574e-20,2.1116916e-20,0.06830952,0.016457096,0.017385604,0.055424925,0.047712393,0.48719677,0.5663921,0.36571342,0.69836164,0.57628876,0.47625437,0.51624805,0.51459944,0.51330006,0.5637398,0.4901224,0.49873403,0.4835016,0.51497793,0.5135061,0.5641845,0.5263579,0.5034006
1.0,0.5,0.043466207,0.20037743,0.031646088,0.0,0.0,0.15137336,0.0017920035,0.04103205,0.20159146,0.08808492,0.0,0.0,0.15266435,0.0018011827,0.25064924,0.22792538,0.05606539,1.7426848e-21,1.748343e-21,0.06992841,0.016153587,0.017010087,0.056018345,0.048806187,0.48720807,0.56624043,0.36569944,0.6984429,0.5752079,0.47567004,0.51623356,0.51459146,0.5132856,0.5610993,0.49026045,0.49880397,0.48351485,0.51497245,0.51349247,0.56154716,0.5265607,0.5032845
1.0,0.5,0.043875076,0.20746131,0.0326224,0.0,0.0,0.14831133,0.0004987746,0.041080683,0.20867768,0.08713571,0.0,0.0,0.14946808,0.00050028076,0.25300935,0.23012567,0.05516199,1.442829e-22,1.4475143e-22,0.069600396,0.016033862,0.01672691,0.05639704,0.048847698,0.4870996,0.5663339,0.36578876,0.6985679,0.57510954,0.47581297,0.5162335,0.51459134,0.5132853,0.5632804,0.48998013,0.49872515,0.4835149,0.5149723,0.5134921,0.5637288,0.5262599,0.50336367
0.5,0.5,0.043374505,0.17927957,0.004221511,0.0,0.0,0.23885232,0.0015145825,0.04036803,0.18028712,0.1146809,0.0,0.0,0.24126515,0.0015228055,0.27083245,0.2574702,0.057485934,3.185554e-31,3.1958945e-31,0.06564942,0.021530062,0.023612559,0.061243646,0.051612582,0.48540944,0.56550056,0.3651606,0.7147199,0.5650909,0.46069166,0.5162362,0.5146352,0.51330227,0.554587,0.498788,0.49986714,0.48351264,0.5150162,0.5134968,0.5550287,0.53487813,0.503851
0.5,0.5,0.04765743,0.17926377,0.002099928,0.0,0.0,0.22236498,0.00095298135,0.04440611,0.18024576,0.1164694,0.0,0.0,0.22450855,0.0009563145,0.2724556,0.25949222,0.05218508,2.637431e-32,2.6459925e-32,0.066174425,0.020644164,0.022304643,0.061344817,0.051138174,0.48446825,0.5661526,0.36483687,0.7168489,0.56330925,0.46510842,0.51623386,0.51463854,0.5133061,0.554752,0.4992381,0.49991623,0.48351628,0.51501745,0.5134995,0.55519044,0.5352378,0.50390214
