lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY_40,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.5,1.0,0.0,0.19061027,0.0,0.06539093,0.0,0.24523352,0.3926847,0.0,0.18997057,0.18827137,0.0,0.0,0.24529849,0.39591634,0.19698319,0.19679533,0.06216337,0.0,0.0,0.09323458,0.025021201,0.019855289,0.090790175,0.07422277,0.44662312,0.5323821,0.27058646,0.57910115,0.5985799,0.48560098,0.51676154,0.5152934,0.51427037,0.5582824,0.51985395,0.50232416,0.4831066,0.5154186,0.5142887,0.55842334,0.557132,0.5066912
0.5,1.0,0.0,0.20717368,0.0,0.070219256,0.0,0.23351504,0.34717143,0.0,0.20637336,0.1930394,0.0,0.0,0.23356159,0.3501169,0.20703013,0.20681795,0.060498036,0.0,0.0,0.0783045,0.024234949,0.019149458,0.086429775,0.07080273,0.4467471,0.5331048,0.270951,0.5793195,0.59738606,0.48656288,0.51679534,0.51530516,0.51429015,0.56334496,0.52123433,0.50270385,0.48307657,0.5154245,0.51430804,0.563479,0.5584555,0.50744396
1.0,1.0,2.3700688e-06,0.29570755,0.02240494,0.0,0.0,0.13394071,0.03918789,2.3683137e-06,0.29553503,0.10247761,0.0,0.0,0.13393852,0.03941712,0.12228993,0.12234138,0.08003394,0.0,0.0,0.046102546,0.023927081,0.019691674,0.077552766,0.07049385,0.4515453,0.5321731,0.2768719,0.54463935,0.61996794,0.49597088,0.516794,0.51523477,0.5142337,0.59045506,0.49322823,0.49876142,0.48308775,0.5153359,0.51424074,0.59056735,0.53074783,0.50562745
1.0,1.0,1.9622628e-07,0.27913946,0.029350169,0.0,0.0,0.1572918,0.10886546,1.9608095e-07,0.27908638,0.09539567,0.0,0.0,0.15727511,0.10905653,0.124197684,0.124206506,0.07753598,0.0,0.0,0.049139787,0.024743252,0.019833371,0.08255447,0.07371203,0.45162424,0.5314445,0.2776909,0.5499556,0.62030053,0.49707928,0.516794,0.51523477,0.5142337,0.5852234,0.49111688,0.49847114,0.48308775,0.5153359,0.51424074,0.58533585,0.52865756,0.5049362
1.0,1.0,1.624626e-08,0.27609867,0.021523887,0.0,0.0,0.157385,0.10488947,1.6234225e-08,0.27596167,0.1030678,0.0,0.0,0.1573689,0.105065845,0.12863624,0.12866761,0.075721614,0.0,0.0,0.050273873,0.025119144,0.020183587,0.083069734,0.07466776,0.45128706,0.5308382,0.2780221,0.54891944,0.61931807,0.49771607,0.51679814,0.51522547,0.51424336,0.5843275,0.49336752,0.4988707,0.48309338,0.51532817,0.5142559,0.5844426,0.5308831,0.5052623
1.0,0.0,0.06669767,0.36358774,0.0,0.16016193,0.0,0.061769858,0.0,0.06585889,0.36041248,0.2810438,0.0,0.0,0.06181275,0.0,0.36157042,0.3619737,0.032194372,0.0,0.0,0.070261955,0.023984194,0.021650162,0.06447801,0.060280263,0.43436962,0.58851445,0.23567075,0.5224849,0.5548847,0.49693257,0.51678854,0.51520675,0.5142199,0.6113825,0.5477282,0.5107935,0.4830986,0.51530075,0.5142324,0.6114853,0.58376336,0.51889485
1.0,0.0,0.04447621,0.3387955,0.0,0.1563947,0.0,0.06896368,3.544394e-05,0.043292373,0.3360761,0.2775912,0.0,0.0,0.06900799,3.5473666e-05,0.35589957,0.35634464,0.0313636,0.0,0.0,0.06881917,0.026668444,0.023389675,0.066206485,0.062119167,0.4346001,0.58848107,0.23581737,0.52198213,0.5558084,0.4960369,0.5167878,0.5151399,0.5142011,0.60398966,0.5467754,0.5098554,0.4830703,0.5152932,0.5141834,0.60414976,0.58301747,0.5174594
0.5,0.5,0.056633145,0.3465263,0.0,0.055321034,0.0,0.09904012,1.6515085e-09,0.0562509,0.3452717,0.17792118,0.0,0.0,0.09905031,1.675097e-09,0.27920544,0.2794722,0.04557356,0.0,0.0,0.054751266,0.031872686,0.026454866,0.07600615,0.07351515,0.43639264,0.5860093,0.2391265,0.5395154,0.57340604,0.49806836,0.5168055,0.5151516,0.5141653,0.6058602,0.51643366,0.5035316,0.48305112,0.5153078,0.51416117,0.60602564,0.55304474,0.5113965
0.5,0.5,0.06262638,0.34833708,0.0,0.046862952,0.0,0.09590919,1.3673415e-10,0.06224122,0.3472138,0.1692754,0.0,0.0,0.095917255,1.386871e-10,0.2813588,0.28161946,0.04489896,0.0,0.0,0.054681122,0.031032264,0.025638938,0.07404194,0.07170334,0.43659598,0.5859245,0.2393412,0.53977245,0.57473403,0.4971087,0.51680577,0.51514494,0.5141647,0.60649014,0.5139593,0.5030184,0.48305044,0.5153026,0.51416206,0.6066572,0.55052143,0.5109231
0.5,0.5,0.06048515,0.34348744,0.0,0.050999623,0.0,0.097805664,1.1320695e-11,0.06009956,0.34233764,0.17356822,0.0,0.0,0.09781614,1.14823845e-11,0.27263957,0.2729658,0.045453694,0.0,0.0,0.05378485,0.030809835,0.02558041,0.07452868,0.07256388,0.43692327,0.58584476,0.23951003,0.53923035,0.57684803,0.49616688,0.51680595,0.5151552,0.51416874,0.60490966,0.5153952,0.5032779,0.48305055,0.5153161,0.51417315,0.6050823,0.55200773,0.5110722
