lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.20468253,0.07666123,0.0,0.097900994,0.45023572,0.0,0.0,0.13540871,0.2359117,0.0,0.100117296,0.0,0.33871162,0.0,0.13508663,0.2352315,0.08212048,0.08198189,0.09211748,8.656902e-09,8.7162e-09,0.028635295,0.023012426,0.017072368,0.07064478,0.07564124,0.49848807,0.61218333,0.31549007,0.70816016,0.5845765,0.5275368,0.51652926,0.5147342,0.5136998,0.5309506,0.3628608,0.491607,0.4833155,0.5148924,0.5137779,0.53112745,0.39686465,0.49361685
0.87987417,0.45006967,6.8762256e-06,0.21679585,0.24568367,0.0,0.0,0.15766393,0.15158033,6.8618397e-06,0.21916397,0.0,0.12451936,0.0,0.15735039,0.15114415,0.044700433,0.044291873,0.110694684,6.3783855e-06,6.4118826e-06,0.047141936,0.021161158,0.016810413,0.071956426,0.073457286,0.49641067,0.6099332,0.31693822,0.746982,0.57895225,0.5705158,0.516493,0.5147095,0.513681,0.56677693,0.42565435,0.49004948,0.48335502,0.51485264,0.51376164,0.5669482,0.46234712,0.49493304
0.22857445,0.37345088,2.2147605e-12,0.20829518,0.30269116,0.0,0.0,0.149033,0.10064422,2.2101303e-12,0.21108991,0.0,0.18290408,0.0,0.14882123,0.1001018,0.082873374,0.08198658,0.096196376,2.0544148e-12,2.0652015e-12,0.041457254,0.023338173,0.017538728,0.07388646,0.07711518,0.49657735,0.61009586,0.3168565,0.739819,0.5726075,0.56590337,0.5164988,0.51471734,0.5137093,0.56474125,0.40834913,0.48813498,0.4833579,0.5148518,0.5138005,0.56490386,0.4446462,0.49278927
0.9601807,0.5826679,6.8991204e-07,0.24472156,0.21845762,0.0,0.0,0.14617,0.026496034,7.542369e-07,0.24692655,0.0,0.09668056,0.0,0.14598718,0.026393529,0.06816403,0.06735779,0.112780675,3.5291157e-07,3.7248526e-07,0.040814836,0.022961043,0.01840579,0.07384734,0.07408503,0.49684453,0.6102036,0.31614953,0.7397829,0.5754561,0.57073873,0.5165102,0.51472294,0.513691,0.57551706,0.4339239,0.48997426,0.48336858,0.5148383,0.51378006,0.5756599,0.47070023,0.4955349
0.6972756,0.8587131,0.05796726,0.27495277,0.20193763,0.0,0.0,0.14561507,6.98132e-08,0.057934064,0.2771191,0.0,0.07994129,0.0,0.14551924,6.9194854e-08,0.055379137,0.053713318,0.12701936,5.430771e-07,5.4390927e-07,0.0515244,0.027023122,0.019474346,0.078843765,0.07626539,0.4969019,0.6087063,0.3160953,0.7392917,0.56942123,0.56544554,0.51652825,0.51475537,0.51369596,0.58470315,0.43920952,0.48962915,0.48336238,0.51485825,0.5137846,0.5848331,0.4759469,0.49588108
0.8549446,0.46830243,0.0,0.21844876,0.19916663,0.0,0.0,0.1813893,0.054493304,0.0,0.2202209,0.0,0.077039234,0.0,0.18123704,0.054437727,0.10666175,0.10573301,0.10059445,1.749197e-13,1.7518758e-13,0.052368015,0.024934027,0.019391028,0.07728723,0.07598753,0.49707136,0.6091788,0.31630284,0.74651897,0.5674529,0.56637794,0.51655287,0.5147887,0.51371753,0.56737036,0.43964282,0.49183843,0.4833478,0.51488763,0.51381046,0.5674943,0.47661,0.4968245
0.32887805,0.05974412,0.0,0.050454017,0.2808042,0.0,0.0,0.25696635,0.44557104,0.0,0.05131599,0.0,0.1622429,0.0,0.2563026,0.44528085,0.103534594,0.10341997,0.095502816,5.633989e-20,5.642618e-20,0.050568994,0.022824444,0.017893344,0.08094146,0.08422639,0.49692538,0.6097186,0.3166734,0.74882126,0.5626428,0.56537074,0.5165753,0.5148012,0.51374424,0.51562846,0.41420725,0.4973307,0.48332936,0.51489854,0.51383644,0.51573956,0.45039988,0.49844068
0.9281614,0.8413496,0.0,0.23213859,0.2023034,0.0,0.0,0.1602905,0.04989572,0.0,0.23400968,0.0,0.079888195,0.0,0.1600307,0.049870547,0.07621756,0.0755786,0.10270238,1.9717866e-26,1.9748054e-26,0.056177996,0.026410108,0.020098887,0.07778859,0.07716081,0.49738145,0.60876226,0.3157273,0.74932563,0.568098,0.5655375,0.5165769,0.51481533,0.5137641,0.5714521,0.438875,0.4912278,0.48333353,0.5149084,0.5138554,0.5715701,0.4758917,0.49652678
0.109270275,0.26795185,0.0,0.103377834,0.29953513,0.0,0.0,0.23241696,0.2588451,0.0,0.10484379,0.0,0.18200314,0.0,0.2320962,0.25879914,0.19214922,0.19018516,0.07715832,6.3509146e-33,6.3606506e-33,0.055908542,0.029280506,0.020673238,0.07761602,0.07704942,0.4980263,0.6086448,0.31678957,0.756976,0.554121,0.5651073,0.5165846,0.51481575,0.5137766,0.5321609,0.4085751,0.4941443,0.48332664,0.51491106,0.5138726,0.53227246,0.4443997,0.49641377
0.8070418,0.22512692,0.0,0.1386017,0.20882018,0.0,0.0,0.22955242,0.31274915,0.0,0.13992344,0.0,0.08735502,0.0,0.22944734,0.31276733,0.16512592,0.16292357,0.082933776,2.222696e-39,2.226101e-39,0.07358688,0.03444107,0.024329083,0.07735147,0.0717458,0.49575555,0.6091529,0.31633747,0.74724406,0.54505855,0.59308517,0.51658875,0.51481366,0.5137807,0.5426422,0.4364402,0.49458098,0.4833212,0.5149117,0.5138818,0.54276145,0.47340545,0.49772108
