lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
1.0,1.0,0.365696,0.54589343,0.0,0.049927637,0.0,0.041619495,2.2215904e-10,0.3636477,0.5435581,0.17019747,0.0,0.0,0.04165679,1.697942e-10,0.22080828,0.22136249,0.109451756,0.0,0.0,0.029637687,0.0245519,0.031495824,0.06997598,0.074952275,0.49981722,0.44519028,0.35408077,0.26401708,0.54348016,0.6367375,0.5167572,0.5151316,0.51411486,0.666656,0.5144082,0.5049877,0.4831675,0.515186,0.5141072,0.6667068,0.5491296,0.51698184
1.0,1.0,0.36488578,0.5459836,0.0,0.04639422,0.0,0.044284113,1.998605e-11,0.3631146,0.5437113,0.16672356,0.0,0.0,0.0443301,1.5275167e-11,0.22702473,0.22768071,0.10636065,0.0,0.0,0.030766835,0.025060691,0.032633334,0.07151611,0.07851067,0.4996771,0.44522896,0.3549261,0.26610172,0.5435351,0.6370721,0.516763,0.5151536,0.5141328,0.6667597,0.51325023,0.50459003,0.4831508,0.5152075,0.51411295,0.66680586,0.5479905,0.5166002
1.0,0.5,0.23124985,0.45204568,0.0,0.04532612,0.0,0.0780452,4.412622e-20,0.23076485,0.4500895,0.16722076,0.0,0.0,0.07809149,3.372529e-20,0.3107064,0.31106338,0.08008118,0.0,0.0,0.028078755,0.023647634,0.031017346,0.06830369,0.066055596,0.5025524,0.44386774,0.35178217,0.2707251,0.541956,0.63809997,0.516778,0.5151805,0.51413333,0.6381137,0.513257,0.50375754,0.48313594,0.5152225,0.51411074,0.6381502,0.5490829,0.5138917
1.0,0.5,0.24586658,0.46581632,0.0,0.04861855,0.0,0.0817319,3.653364e-21,0.24515153,0.46375653,0.16976528,0.0,0.0,0.08176139,2.7922336e-21,0.28543723,0.28579876,0.08664295,0.0,0.0,0.023990618,0.024094025,0.031861424,0.06907923,0.06584954,0.50276434,0.44418582,0.3517502,0.27202156,0.54051125,0.63847256,0.516778,0.5151805,0.51413333,0.6421955,0.5142648,0.50416917,0.48313594,0.5152225,0.51411074,0.64223146,0.54979223,0.5145307
1.0,0.5,0.25892344,0.47579738,0.0,0.049519777,0.0,0.07887494,3.0247467e-22,0.258106,0.4736447,0.1708239,0.0,0.0,0.07890384,2.311789e-22,0.28337884,0.2837785,0.08915987,0.0,0.0,0.023881143,0.023989268,0.031804457,0.06796098,0.06524885,0.5011697,0.44473302,0.3521846,0.27287227,0.54453987,0.63617563,0.51678085,0.5151963,0.51415104,0.6453576,0.5145506,0.5043527,0.48313364,0.515231,0.5141245,0.6453847,0.55006546,0.51495266
0.0,0.0,0.0,0.15932079,0.23442934,0.0,0.0,0.11783828,0.101116754,0.0,0.16066477,0.0,0.113446765,0.0,0.11775838,0.10121005,0.35404456,0.35377303,0.057726596,0.0,0.0,0.016056228,0.02077048,0.021143576,0.06963027,0.058924634,0.50171345,0.4459404,0.35342997,0.28020638,0.5384827,0.6408051,0.5168012,0.5152372,0.514181,0.54916185,0.42874005,0.49299502,0.48312426,0.51526463,0.514159,0.5491896,0.46551797,0.49659944
0.0,0.0,0.0,0.1761892,0.19411348,0.0,0.0,0.11870961,0.06973838,0.0,0.1773435,0.0,0.07236256,0.0,0.11865547,0.069830865,0.3575009,0.35719904,0.059083752,0.0,0.0,0.016137425,0.020825591,0.021603066,0.069768675,0.058300875,0.5015499,0.44573927,0.3535143,0.27940875,0.5396725,0.6397037,0.5168012,0.5152372,0.514181,0.5540795,0.44104037,0.49361318,0.48312426,0.51526463,0.514159,0.554107,0.4780168,0.49761257
0.0,0.0,0.0,0.1814623,0.21199314,0.0,0.0,0.122067764,0.06368044,0.0,0.18277779,0.0,0.090915225,0.0,0.12201089,0.063696325,0.35486293,0.35480678,0.056213006,0.0,0.0,0.015949756,0.01990494,0.0209887,0.06785781,0.057518538,0.50189847,0.44566596,0.35345337,0.28110528,0.53983456,0.6402803,0.5168058,0.515257,0.51418126,0.55588365,0.43564466,0.4927975,0.4831175,0.51528084,0.5141573,0.55590683,0.47239923,0.49690256
1.0,0.5,0.24548322,0.45113492,0.0,0.051947206,0.0,0.08637705,1.6574163e-09,0.24486418,0.448944,0.1743762,0.0,0.0,0.08639914,1.6609619e-09,0.25015354,0.25049233,0.11126719,0.0,0.0,0.020773826,0.021381415,0.027655495,0.075437896,0.061222307,0.5020725,0.444732,0.35189575,0.28031674,0.5364772,0.6395927,0.5168363,0.5152894,0.5141955,0.63785857,0.5152896,0.504325,0.4831047,0.51530516,0.5141658,0.63786614,0.55128366,0.5144807
1.0,0.5,0.24521697,0.44900686,0.0,0.0562852,0.0,0.08680529,1.3722322e-10,0.24462888,0.44674116,0.17870301,0.0,0.0,0.086825676,1.3751686e-10,0.25033143,0.25073048,0.11093564,0.0,0.0,0.021462955,0.02096795,0.027256489,0.07435338,0.060605284,0.5021178,0.44487992,0.35182458,0.28113174,0.5365487,0.63943636,0.5168363,0.5152894,0.5141955,0.6372857,0.51657385,0.50466764,0.4831047,0.51530516,0.5141658,0.63729334,0.5525747,0.51477885
1.0,0.5,0.25622952,0.45377177,0.0,0.069953114,0.0,0.0903051,1.1361188e-11,0.25531834,0.45122528,0.19179623,0.0,0.0,0.090339676,1.1385496e-11,0.25673726,0.25688288,0.106277935,0.0,0.0,0.021191463,0.022134092,0.028781218,0.07943165,0.06254263,0.50262713,0.4444353,0.35210967,0.2797796,0.53777444,0.63974375,0.5168383,0.5152936,0.5141935,0.6386149,0.5204294,0.50581145,0.4831035,0.51530784,0.51416194,0.6386202,0.5562426,0.5159657
1.0,0.0,0.0014506557,0.22924826,0.0,0.07183325,0.0,0.48547575,0.006745288,0.0014448507,0.22791715,0.19343476,0.0,0.0,0.48523143,0.0067969966,0.4492185,0.4488417,0.037208866,0.0,0.0,0.0031162477,0.41279972,0.3936584,0.17998311,0.17058231,0.50105697,0.44700542,0.3511755,0.2799284,0.5326039,0.644695,0.51687264,0.51527125,0.51422465,0.57007045,0.52152896,0.503036,0.4830757,0.51528454,0.5141917,0.57007974,0.5583087,0.5082071
1.0,0.0,0.02245287,0.24532105,0.0,0.07392109,0.0,0.4878228,0.0006362683,0.022410486,0.24387813,0.1952447,0.0,0.0,0.4873945,0.0006405932,0.43374515,0.43363774,0.042829018,0.0,0.0,0.002789516,0.4223127,0.40452504,0.19186264,0.18265185,0.5007028,0.4469698,0.35110682,0.27899787,0.53682226,0.6416865,0.51687264,0.51527125,0.51422465,0.57502425,0.5224469,0.50339246,0.4830757,0.51528454,0.5141917,0.5750332,0.55908704,0.5089124
1.0,0.0,0.029835206,0.2584487,0.0,0.062460307,0.0,0.4717806,5.2678894e-05,0.029933907,0.2570596,0.18382274,0.0,0.0,0.47067592,5.303694e-05,0.38887966,0.38959086,0.04566493,0.0,0.0,0.002482946,0.38691294,0.37417737,0.18439645,0.18702818,0.50050044,0.44734436,0.35150802,0.28175247,0.53723437,0.64442325,0.5168811,0.5152557,0.5142186,0.5790155,0.5189055,0.503012,0.48307058,0.51526904,0.5141849,0.579024,0.5555119,0.5088282
0.0,0.0,3.7343896e-05,0.20036632,0.40622252,0.0,0.0,0.189099,0.01422597,3.733587e-05,0.20340614,0.0,0.2921954,0.0,0.1887685,0.014222788,0.36557272,0.36035818,0.044926036,0.0,0.0,0.006438323,0.05968965,0.04832816,0.08532615,0.07406541,0.5073972,0.44883993,0.34282845,0.2627793,0.5691461,0.5638162,0.5168933,0.5152083,0.5141922,0.5631139,0.376884,0.48453858,0.4830502,0.5152201,0.5141532,0.5631212,0.41145983,0.4888232
0.0,0.0,0.0027176866,0.19498646,0.39338124,0.0,0.0,0.16930133,0.0064641656,0.0027022646,0.19785242,0.0,0.27853972,0.0,0.16920356,0.006493372,0.3568379,0.34881297,0.047353234,0.0,0.0,0.0064703343,0.051625837,0.043357775,0.07522509,0.06594189,0.50781345,0.44900584,0.34378034,0.2611666,0.5686978,0.5611719,0.5168933,0.5152083,0.5141922,0.56125635,0.38069963,0.48545372,0.4830502,0.5152201,0.5141532,0.5612638,0.41553324,0.48964927
0.0,0.0,0.005555986,0.22812498,0.37624142,0.0,0.0,0.13348015,0.0018458229,0.005525579,0.23131272,0.0,0.2605122,0.0,0.13329533,0.0018538521,0.3542685,0.34705475,0.047139913,0.0,0.0,0.0070715547,0.04350117,0.037636522,0.06748825,0.059407413,0.50751007,0.4492686,0.34400517,0.2628812,0.5674713,0.5607142,0.5168912,0.5152023,0.5141889,0.5715326,0.38621637,0.48375636,0.48304847,0.51521635,0.5141507,0.5715417,0.42122978,0.48870054
1.0,1.0,0.52460206,0.5253326,0.0,0.011326023,0.0,0.08588285,0.0,0.51864594,0.52378726,0.13077435,0.0,0.0,0.08618759,0.0,0.29016095,0.28703415,0.10680821,0.0,0.0,0.013689109,0.053977527,0.06314425,0.12542431,0.09903159,0.501258,0.4471076,0.34387612,0.24465463,0.54877335,0.5936464,0.51689154,0.51519877,0.5141825,0.6604729,0.50327986,0.50109035,0.48304915,0.5152134,0.51414436,0.6604748,0.5379087,0.5125878
1.0,1.0,0.4769947,0.5042851,0.0,0.011921498,0.0,0.1079971,0.0,0.47440073,0.5027811,0.13144879,0.0,0.0,0.10822012,0.0,0.2950609,0.2941246,0.120142736,0.0,0.0,0.012993728,0.058789082,0.07219989,0.12778425,0.10226278,0.501943,0.44740096,0.34322375,0.24943158,0.5463438,0.5862708,0.51689154,0.51519877,0.5141825,0.6539935,0.5034952,0.50111187,0.48304915,0.5152134,0.51414436,0.6539959,0.53829163,0.51216686
1.0,0.5,0.31446046,0.43458733,0.017624406,0.0,0.0,0.114366576,0.0,0.314089,0.4338046,0.10392058,0.0,0.0,0.11452826,0.0,0.31155038,0.3116396,0.11072095,0.0,0.0,0.013609437,0.034455076,0.047557484,0.08583268,0.07686162,0.50166243,0.44698745,0.34051,0.25952503,0.5466276,0.58450955,0.5168842,0.51523155,0.5142006,0.63277686,0.49478054,0.49858046,0.48304668,0.51525474,0.5141464,0.6327855,0.53060484,0.5083184
1.0,0.5,0.29382452,0.4408916,0.009603478,0.0,0.0,0.10333524,0.0,0.29339918,0.43993577,0.11236579,0.0,0.0,0.10347173,0.0,0.294136,0.29419717,0.117485434,0.0,0.0,0.013127922,0.029952329,0.041881617,0.075248204,0.06770172,0.5016941,0.44639504,0.3401661,0.2592075,0.54542416,0.58557445,0.516884,0.51523435,0.51420236,0.63465464,0.49715587,0.49921498,0.48304778,0.51525694,0.51414853,0.6346625,0.5330692,0.50912046
