lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionY,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.5,0.0,1.8202916e-05,0.20125912,0.121226154,0.0,0.0,0.09643039,0.13456191,1.839935e-05,0.20211953,0.0,0.0007309605,0.0,0.09643487,0.13571495,0.27588594,0.27528283,0.047770288,0.0,0.0,0.04208865,0.030152833,0.02096288,0.08482442,0.07459661,0.48220798,0.54051614,0.3253349,0.5025689,0.55749285,0.5119417,0.5166429,0.51517993,0.51404583,0.5615181,0.46312296,0.49544403,0.48329306,0.51525944,0.51411265,0.5616137,0.49965504,0.49995726
0.5,0.0,1.5070826e-06,0.22299376,0.15952034,0.0,0.0,0.08032508,0.13464521,1.5233472e-06,0.22429442,0.0,0.03933801,0.0,0.080323406,0.13570404,0.28687072,0.28605747,0.05208208,0.0,0.0,0.039822664,0.029513104,0.019739619,0.07881607,0.07117447,0.48458594,0.5409517,0.32600027,0.5023094,0.5682094,0.49197412,0.5166429,0.51517993,0.51404583,0.568457,0.45168856,0.4933546,0.48329306,0.51525944,0.51411265,0.56855315,0.4880545,0.49835202
0.5,0.0,3.32741e-15,0.16414699,0.20028827,0.0,0.0,0.11831167,0.22557133,3.3633237e-15,0.16551948,0.0,0.08166548,0.0,0.118288,0.2257337,0.24759306,0.2467455,0.05544181,0.0,0.0,0.034644287,0.029091684,0.020718932,0.08467199,0.07754658,0.48644277,0.53828347,0.3335896,0.5156102,0.5806324,0.48234278,0.5167059,0.5151944,0.5141184,0.550482,0.43917945,0.49385387,0.483235,0.51528513,0.514198,0.5505888,0.475232,0.4974865
0.5,0.0,2.7548783e-16,0.18267515,0.18792477,0.0,0.0,0.1051186,0.19861254,2.7846131e-16,0.18409896,0.0,0.06883605,0.0,0.105089754,0.19881514,0.23751572,0.23652007,0.054326493,0.0,0.0,0.035536606,0.027778946,0.019497441,0.084343575,0.07665671,0.4865925,0.5380806,0.3341341,0.5144268,0.5792724,0.48372388,0.5166979,0.51519763,0.51413083,0.55615515,0.44285357,0.4935691,0.48323292,0.5152977,0.5142089,0.55627286,0.47900176,0.49762744
0.5,0.0,2.2808599e-17,0.18060912,0.18549554,0.0,0.0,0.10233964,0.24211957,2.3054776e-17,0.18200287,0.0,0.066264376,0.0,0.102319546,0.24247366,0.20823576,0.20735076,0.05758274,0.0,0.0,0.036152024,0.026670907,0.018781006,0.08289022,0.07542346,0.48635125,0.53850985,0.33459896,0.5114554,0.580161,0.48257893,0.5166979,0.51519763,0.51413083,0.5554864,0.44369057,0.49373898,0.48323292,0.5152977,0.5142089,0.5556041,0.47988585,0.49775448
1.0,0.5,0.014554915,0.25638244,0.04945286,0.0,0.0,0.17715949,0.0020061315,0.014282759,0.25664297,0.072228596,0.0,0.0,0.17716853,0.0020198948,0.29020554,0.28943613,0.053368956,0.0,0.0,0.04280836,0.030738259,0.025638334,0.10025749,0.085818715,0.4858088,0.53227043,0.34056664,0.5563174,0.58588004,0.49577418,0.51669973,0.515188,0.51415634,0.5783808,0.48515496,0.49765396,0.4832274,0.51528716,0.5142264,0.5785004,0.5218651,0.50346017
1.0,0.5,0.01651455,0.26076546,0.037477992,0.0,0.0,0.18423584,0.0009598057,0.016216274,0.2608769,0.08456053,0.0,0.0,0.18423587,0.0009629114,0.3092144,0.3081048,0.050985206,0.0,0.0,0.043600067,0.03261203,0.026698075,0.10214719,0.085337766,0.4860677,0.5319981,0.34117842,0.558826,0.5848582,0.49545836,0.5167048,0.5151912,0.5141578,0.5798266,0.48865947,0.49817407,0.48322627,0.5152882,0.51423085,0.5799447,0.5254545,0.50410306
1.0,0.5,0.017456664,0.26100338,0.0307266,0.0,0.0,0.19662896,0.00051783706,0.017139765,0.26103497,0.091421746,0.0,0.0,0.1966281,0.0005189604,0.31098816,0.3097466,0.052785646,0.0,0.0,0.044442184,0.032847494,0.0269203,0.100012235,0.082676604,0.48617846,0.53171295,0.34137362,0.5607656,0.58468986,0.494872,0.5167048,0.5151912,0.5141578,0.5798559,0.4906292,0.4984906,0.48322627,0.5152882,0.51423085,0.57997423,0.5274549,0.50442684
0.5,0.5,0.01844283,0.24352862,0.055611067,0.0,0.0,0.23041399,0.0004320739,0.018176233,0.2438512,0.06570205,0.0,0.0,0.23042294,0.0004338029,0.32928392,0.3286343,0.050807722,0.0,0.0,0.052480627,0.03760903,0.02917457,0.10542454,0.08741387,0.48413205,0.5307039,0.3417092,0.57517385,0.57136005,0.50777704,0.5167211,0.5152228,0.5141964,0.5743535,0.48330328,0.4974991,0.48319525,0.5153201,0.5142587,0.5744689,0.5199478,0.50299233
0.5,0.5,0.014791196,0.23656671,0.053496588,0.0,0.0,0.23420885,0.0011054068,0.014541545,0.23686685,0.0675345,0.0,0.0,0.23421656,0.0011086646,0.31979546,0.3191248,0.051530134,0.0,0.0,0.056104377,0.038778644,0.029526858,0.10720137,0.08827738,0.48421174,0.53027,0.34209225,0.577054,0.5720753,0.50781906,0.51672065,0.5152247,0.5141998,0.57228506,0.4836594,0.49762148,0.4831958,0.5153219,0.51425916,0.57239944,0.5202485,0.5029518
